OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
ESR1,KDM5A,Affinity Capture-Western
RB1,KDM5A,Affinity Capture-Western
RB1,KDM5A,Reconstituted Complex
TBP,KDM5A,Reconstituted Complex
RBL1,KDM5A,Reconstituted Complex
KDM5A,RB1,Affinity Capture-Western
FASLG,FNBP1,Affinity Capture-MS
FASLG,PACSIN2,Affinity Capture-MS
FASLG,GRB2,Affinity Capture-Western
GRB2,FASLG,Reconstituted Complex
FNBP1,FASLG,Reconstituted Complex
PACSIN2,FASLG,Reconstituted Complex
PACSIN2,FASLG,Affinity Capture-Western
FNBP1,FASLG,Affinity Capture-Western
PLXNB1,ARHGEF11,Affinity Capture-Western
ARHGEF11,PLXNB2,Two-hybrid
ARHGEF11,PLXNB1,Affinity Capture-Western
ARHGEF11,PLXNB2,Affinity Capture-Western
ARHGEF11,PLXNB3,Affinity Capture-Western
PLXNB1,ARHGEF11,Co-localization
KMT2A,PPP1R15A,Affinity Capture-Western
PPP1R15A,SMARCB1,Affinity Capture-Western
KMT2A,SMARCB1,Affinity Capture-Western
SMARCB1,PPP1R15A,Reconstituted Complex
PPIE,KMT2A,Two-hybrid
KMT2A,KMT2A,Reconstituted Complex
KMT2A,PPIE,Affinity Capture-Western
PPIE,KMT2A,Affinity Capture-Western
KMT2A,KMT2A,Affinity Capture-Western
KMT2A,KMT2A,Reconstituted Complex
KMT2A,KMT2A,Affinity Capture-Western
KMT2A,KMT2A,Reconstituted Complex
IFNAR1,PRMT1,Two-hybrid
IFNAR1,PRMT1,Reconstituted Complex
PRMT1,ILF3,Two-hybrid
PRMT1,ILF3,Affinity Capture-Western
ILF3,PRMT1,Reconstituted Complex
PRMT1,ILF3,Biochemical Activity
KHDRBS1,PRMT1,Affinity Capture-Western
KHDRBS3,PRMT1,Affinity Capture-Western
HNRNPK,PRMT1,Affinity Capture-Western
PRMT1,KHDRBS1,Biochemical Activity
BTG2,PRMT1,Two-hybrid
PRMT1,BTG1,Reconstituted Complex
PRMT1,BTG2,Reconstituted Complex
BTG2,PRMT1,Co-purification
PRMT1,HNRNPA1,Biochemical Activity
BTG2,PRMT1,Two-hybrid
BTG2,PRMT1,Reconstituted Complex
PRMT1,NCOA3,Reconstituted Complex
PRMT1,NCOA2,Reconstituted Complex
PRMT1,NCOA1,Reconstituted Complex
PRMT1,ESR1,Reconstituted Complex
PRMT1,THRB,Reconstituted Complex
PRMT1,AR,Reconstituted Complex
PRMT1,CARM1,Phenotypic Enhancement
PRMT1,HNRNPR,Biochemical Activity
PRMT1,HNRNPK,Biochemical Activity
PRMT1,ZBTB14,Biochemical Activity
PRMT1,SYNCRIP,Biochemical Activity
PRMT1,CAPRIN1,Biochemical Activity
PRMT1,TAF15,Biochemical Activity
PRMT1,FUS,Biochemical Activity
CARM1,PABPN1,Biochemical Activity
PRMT1,HNRNPU,Biochemical Activity
PRMT1,CIRBP,Biochemical Activity
PRMT1,ILF3,Biochemical Activity
PRMT1,FUS,Biochemical Activity
KAT2A,XRCC6,Two-hybrid
CREBBP,XRCC6,Two-hybrid
XRCC6,KAT2A,Reconstituted Complex
TADA2A,KAT2A,Reconstituted Complex
CREBBP,XRCC6,Reconstituted Complex
KAT2A,XRCC6,Reconstituted Complex
KAT2A,XRCC6,Co-fractionation
KAT2A,XRCC5,Co-fractionation
XRCC6,XRCC5,Co-fractionation
XRCC6,KAT2A,Affinity Capture-Western
XRCC5,KAT2A,Affinity Capture-Western
PRKDC,KAT2A,Biochemical Activity
KAT2A,TADA2A,Reconstituted Complex
KAT2A,ADA2,Reconstituted Complex
TADA2A,KAT2A,Reconstituted Complex
TADA2A,GCN5,Reconstituted Complex
KAT2A,ADA2,Two-hybrid
KAT2A,TADA2A,Two-hybrid
VAV1,EZH2,Reconstituted Complex
EZH2,VAV1,Affinity Capture-Western
EZH2,ATRX,Two-hybrid
ATRX,EZH2,Two-hybrid
ATRX,EZH2,Reconstituted Complex
EZH2,ATRX,Reconstituted Complex
EED,EZH2,Two-hybrid
EZH2,EED,Affinity Capture-Western
EED,HDAC2,Reconstituted Complex
EED,EZH2,Affinity Capture-Western
EED,HDAC1,Affinity Capture-Western
EED,HDAC2,Affinity Capture-Western
EZH2,EED,Affinity Capture-Western
EZH2,HDAC1,Affinity Capture-Western
EZH2,HDAC2,Affinity Capture-Western
HDAC1,EED,Affinity Capture-Western
