OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
MAP2K1,GRB10,Reconstituted Complex
RAF1,GRB10,Reconstituted Complex
RAF1,GRB10,Two-hybrid
RAF1,GRB10,Affinity Capture-Western
MAP2K1,GRB10,Affinity Capture-Western
GRB10,RAF1,Affinity Capture-Western
GRB10,MAP2K1,Affinity Capture-Western
RAF1,HRAS,Reconstituted Complex
RAF1,HRAS,Affinity Capture-Western
RAF1,BAG1,Reconstituted Complex
BAG1,RAF1,Reconstituted Complex
RAF1,BAG1,Two-hybrid
RAF1,BAG1,Affinity Capture-Western
PAK1,RAF1,Affinity Capture-Western
PAK1,RAF1,Reconstituted Complex
PAK1,RAF1,Biochemical Activity
RAF1,YWHAB,Affinity Capture-Western
RAF1,YWHAG,Affinity Capture-Western
RAF1,YWHAQ,Affinity Capture-Western
RAF1,YWHAH,Affinity Capture-Western
PRKCZ,YWHAG,Affinity Capture-Western
PRKCZ,YWHAQ,Affinity Capture-Western
PRKCZ,YWHAH,Affinity Capture-Western
RAF1,YWHAZ,Affinity Capture-Western
RAF1,PRKCZ,Affinity Capture-Western
PRKCZ,RAF1,Affinity Capture-Western
PRKCZ,YWHAQ,Reconstituted Complex
RAF1,PRKCZ,Reconstituted Complex
PRKCZ,YWHAB,Biochemical Activity
PRKCZ,YWHAQ,Biochemical Activity
PRKCZ,YWHAZ,Biochemical Activity
YWHAB,PRKCZ,Affinity Capture-Western
GRB7,RET,Reconstituted Complex
RET,GRB7,Far Western
EPHB2,SRC,Two-hybrid
SRC,EPHB2,Reconstituted Complex
CRK,EPHB2,Reconstituted Complex
RASA1,EPHB2,Reconstituted Complex
IRF8,IRF1,Two-hybrid
HIP1,IFT57,Two-hybrid
IFT57,HIP1,Affinity Capture-Western
HIP1,IFT57,Affinity Capture-Western
HIP1,CASP8,Affinity Capture-Western
IFT57,CASP8,Affinity Capture-Western
CASP8,IFT57,Affinity Capture-Western
CASP8,HIP1,Affinity Capture-Western
