OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
TEK,ANGPT1,Reconstituted Complex
EGFR,GRB2,Affinity Capture-Western
EGFR,PRKAR1A,Affinity Capture-Western
EGFR,PRKACA,Affinity Capture-Western
GRB2,PRKAR1A,Affinity Capture-Western
GRB2,PRKAR1A,Reconstituted Complex
AHR,AIP,Reconstituted Complex
SLC5A1,HSPA1A,Affinity Capture-Western
SMAD3,SMAD2,Affinity Capture-Western
SMAD3,SMAD4,Affinity Capture-Western
SMAD2,SMAD4,Affinity Capture-Western
ERBB3,PA2G4,Reconstituted Complex
ERBB3,PA2G4,Affinity Capture-Western
APAF1,CASP9,Affinity Capture-Western
APAF1,CASP4,Affinity Capture-Western
APAF1,CASP8,Affinity Capture-Western
ABL1,SPTA1,Reconstituted Complex
ABL1,SPTAN1,Reconstituted Complex
ABL1,SPTA1,Affinity Capture-Western
ABL1,SPTAN1,Two-hybrid
BCL2L1,CASP9,Affinity Capture-Western
BCL2L1,APAF1,Affinity Capture-Western
C3,CFHR5,Reconstituted Complex
OPRK1,SLC9A3R1,Affinity Capture-Western
PLD1,PKN1,Affinity Capture-Western
PKN1,PLD1,Reconstituted Complex
ASAP2,PXN,Reconstituted Complex
SNTB2,MAST2,Reconstituted Complex
SNTB2,MAST1,Reconstituted Complex
NPHP1,NPHP4,Affinity Capture-Western
EGFR,PLD2,Affinity Capture-Western
IL22,IL22RA2,Reconstituted Complex
PICK1,ASIC1,Two-hybrid
PICK1,BNC1,Two-hybrid
PICK1,BNC1,Affinity Capture-Western
PICK1,ASIC1,Affinity Capture-Western
ERCC1,ERCC4,Reconstituted Complex
SRC,RAF1,Affinity Capture-Western
SRC,RAF1,Reconstituted Complex
FYN,RAF1,Affinity Capture-Western
FYN,RAF1,Reconstituted Complex
EIF2AK2,ILF3,Biochemical Activity
PLAT,F2,Co-crystal Structure
NOTCH2,RBPJ,Two-hybrid
AKAP5,PRKAR2B,Reconstituted Complex
MAP3K3,GAB1,Affinity Capture-Western
MAP3K3,GAB1,Reconstituted Complex
BAX,SH3GLB1,Two-hybrid
SH3GLB1,BAX,Affinity Capture-Western
PKN1,VIM,Two-hybrid
PKN1,VIM,Biochemical Activity
BANF1,BANF1,Co-crystal Structure
CDH5,CTNND1,Affinity Capture-Western
ABCA4,CNGB1,Affinity Capture-Western
CASP10,RYBP,Affinity Capture-Western
RYBP,CASP10,Affinity Capture-Western
RYBP,FADD,Affinity Capture-Western
SPTAN1,NEFL,Reconstituted Complex
GRB2,DCTN1,Affinity Capture-Western
GRB2,DCTN1,Reconstituted Complex
BTAF1,TBP,Affinity Capture-Western
TBP,BTAF1,Reconstituted Complex
CCNT2,RB1,Reconstituted Complex
RB1,CCNT2,Reconstituted Complex
RB1,CDK9,Reconstituted Complex
CDK9,RB1,Affinity Capture-Western
PIN1,TP53,Reconstituted Complex
PIN1,TP53,Affinity Capture-Western
KCNJ6,KCNJ9,Affinity Capture-Western
GOLGA2,GORASP1,Co-localization
SH3BP5,BTK,Affinity Capture-Western
SH3BP5,BTK,Reconstituted Complex
DR1,DRAP1,Affinity Capture-Western
DRAP1,DR1,Reconstituted Complex
POU4F1,ESR1,Reconstituted Complex
POU4F2,ESR1,Reconstituted Complex
POU4F1,ESR1,Two-hybrid
POU4F2,ESR1,Two-hybrid
INSR,CAV1,Affinity Capture-Western
NR3C1,YWHAH,Two-hybrid
NR3C1,YWHAH,Reconstituted Complex
CNTF,CNTF,Co-crystal Structure
NR1H2,RXRA,Two-hybrid
NR1H4,RXRA,Two-hybrid
RXRA,NR1H4,Reconstituted Complex
RXRA,NR1H2,Reconstituted Complex
NFKBIB,RXRA,Two-hybrid
NFKBIB,RXRA,Reconstituted Complex
IGF2R,PLIN3,Reconstituted Complex
IGF2R,PLIN3,Two-hybrid
M6PR,PLIN3,Reconstituted Complex
M6PR,PLIN3,Two-hybrid
JAK2,SOCS1,Two-hybrid
SOCS1,JAK2,Reconstituted Complex
SOCS1,JAK2,Affinity Capture-Western
SRC,KHDRBS1,Reconstituted Complex
NCF1,KHDRBS1,Reconstituted Complex
ZFYVE9,SMAD2,Reconstituted Complex
ZFYVE9,SMAD3,Reconstituted Complex
ZFYVE9,SMAD2,Affinity Capture-Western
ZFYVE9,SMAD3,Affinity Capture-Western
NOL3,SRSF9,Two-hybrid
SRSF9,NOL3,Reconstituted Complex
NOL3,SRSF9,Affinity Capture-Western
DLX2,MSX1,Reconstituted Complex
DLX5,MSX1,Reconstituted Complex
MSX1,MSX1,Reconstituted Complex
MSX2,MSX1,Reconstituted Complex
SERTAD3,RPA2,Reconstituted Complex
DLX2,MSX2,Reconstituted Complex
DLX5,MSX2,Reconstituted Complex
RPA2,SERTAD3,Affinity Capture-Western
MSX1,MSX2,Reconstituted Complex
MSX2,MSX2,Reconstituted Complex
RPA2,SERTAD3,Two-hybrid
DLX2,DLX2,Reconstituted Complex
DLX5,DLX2,Reconstituted Complex
MSX1,DLX2,Reconstituted Complex
MSX2,DLX2,Reconstituted Complex
DLX2,DLX5,Reconstituted Complex
STX1A,SNAP25,Reconstituted Complex
DLX5,DLX5,Reconstituted Complex
MSX1,DLX5,Reconstituted Complex
STX1A,SNAP25,Affinity Capture-Western
MSX2,DLX5,Reconstituted Complex
DLX2,HOXC8,Reconstituted Complex
DLX5,HOXC8,Reconstituted Complex
MSX1,HOXC8,Reconstituted Complex
MSX1,TBP,Reconstituted Complex
MSX1,MSX1,Two-hybrid
MSX1,MSX2,Two-hybrid
MSX1,DLX2,Two-hybrid
ARTN,GFRA3,Reconstituted Complex
PIM1,SNX6,Two-hybrid
SNX6,PIM1,Reconstituted Complex
PIM1,SNX6,Affinity Capture-Western
VHL,FN1,Affinity Capture-Western
HLA-DRA,MBP,Co-crystal Structure
ZAP70,SHC1,Affinity Capture-Western
ZAP70,SHC1,Biochemical Activity
PLCG1,PTK2,Affinity Capture-Western
RASA1,DOK1,Affinity Capture-Western
NBR1,CIB1,Two-hybrid
NBR1,FEZ1,Two-hybrid
FEZ1,NBR1,Affinity Capture-Western
PXN,VCL,Reconstituted Complex
PXN,PTK2,Reconstituted Complex
SP1,KLF4,Reconstituted Complex
PXN,NCK1,Reconstituted Complex
ABCG5,ABCG8,Affinity Capture-Western
TAP1,HLA-G,Affinity Capture-Western
TAP2,HLA-G,Affinity Capture-Western
ZFP36,YWHAH,Two-hybrid
YWHAH,ZFP36,Reconstituted Complex
YWHAB,ZFP36,Affinity Capture-Western
SNAPC2,TBP,Reconstituted Complex
APH1A,PSEN1,Affinity Capture-Western
APH1A,PSEN2,Affinity Capture-Western
APH1A,NCSTN,Affinity Capture-Western
NCSTN,APH1A,Affinity Capture-Western
NCSTN,PSEN1,Affinity Capture-Western
NCSTN,PSEN2,Affinity Capture-Western
SF3B1,PPP1R8,Two-hybrid
SF3B1,PPP1R8,Reconstituted Complex
PPP1R8,SF3B1,Affinity Capture-Western
NOLC1,POLR1A,Affinity Capture-Western
CRKL,BLNK,Affinity Capture-Western
SLC9A3R1,SLC4A8,Reconstituted Complex
IDE,IGF1,Reconstituted Complex
IDE,IGF2,Reconstituted Complex
MYO5A,RAB27A,Reconstituted Complex
AKAP3,PRKAR2A,Far Western
AMPH,BIN1,Affinity Capture-Western
AMPH,DNM1,Reconstituted Complex
LRP2,GIPC1,Reconstituted Complex
LRP2,LRPAP1,Reconstituted Complex
MPL,SOCS1,Affinity Capture-Western
PTK2B,BCAR1,Affinity Capture-Western
REXO4,ESR1,Reconstituted Complex
REXO4,ESR2,Reconstituted Complex
CD36,MATK,Affinity Capture-Western
